student_id,gender,study_hours_per_week,attendance_percent,previous_grade,sleep_hours,extracurricular_hours,parental_support,internet_access,part_time_job,final_score
S1000,Female,18.0,91.1,86.8,8.0,1.9,Medium,Yes,No,84.8
S1001,Female,14.2,100.0,81.1,6.3,3.0,Low,Yes,No,66.2
S1002,Male,18.9,63.2,70.7,5.9,0.4,Low,Yes,No,60.7
S1003,Male,24.1,86.8,62.2,7.0,3.9,High,Yes,No,70.3
S1004,Male,13.6,72.2,78.4,6.8,5.3,Medium,No,No,59.3
S1005,Female,13.6,74.2,,6.4,6.4,High,Yes,No,65.5
S1006,Female,24.5,72.9,80.7,7.9,0.7,Low,Yes,No,56.7
S1007,Male,19.6,69.6,77.6,8.2,1.7,Medium,Yes,No,70.5
S1008,Female,12.2,80.6,82.6,7.1,6.0,Low,Yes,No,76.1
S1009,Female,18.3,70.0,63.6,8.9,2.9,High,Yes,No,65.9
S1010,Male,12.2,83.2,85.8,5.5,5.3,Medium,Yes,No,63.3
S1011,Male,12.2,79.4,72.4,6.7,1.0,High,Yes,No,63.2
S1012,Female,16.5,77.1,94.9,6.1,8.2,Medium,Yes,No,67.2
S1013,Female,3.5,69.1,61.7,4.6,1.0,Medium,Yes,No,61.2
S1014,Female,4.7,73.1,90.8,6.9,3.8,Medium,Yes,Yes,56.8
S1015,Male,11.6,89.1,72.4,6.8,3.9,Medium,Yes,No,63.1
S1016,Male,8.9,86.0,62.2,9.0,2.2,High,No,No,58.7
S1017,Male,16.9,68.3,64.2,7.8,4.7,High,Yes,No,68.5
S1018,Male,9.6,81.2,66.2,5.7,4.8,High,Yes,No,65.6
S1019,Female,6.5,89.0,75.1,9.4,4.5,High,Yes,No,67.0
S1020,Male,23.8,60.0,76.3,8.6,2.2,Medium,Yes,No,59.2
S1021,Male,13.6,86.5,63.1,7.8,1.8,Medium,Yes,Yes,70.8
S1022,Female,15.4,72.0,69.7,6.7,2.4,High,Yes,No,66.6
S1023,Female,6.5,86.8,95.7,5.8,1.6,Low,Yes,No,63.5
S1024,Female,11.7,70.8,90.7,6.5,7.1,High,Yes,Yes,69.3
S1025,Male,15.7,58.3,75.2,8.4,2.6,High,Yes,Yes,71.3
S1026,Female,8.1,60.5,70.5,9.4,3.8,Medium,Yes,No,53.1
S1027,Female,17.3,80.6,71.4,9.0,5.9,High,Yes,No,71.9
S1028,Male,11.4,83.1,77.4,6.4,1.6,Medium,Yes,Yes,60.6
S1029,Male,13.2,69.1,57.7,5.5,0.9,Medium,Yes,No,44.4
S1030,Female,11.4,87.7,66.9,7.2,1.6,Low,Yes,No,53.8
S1031,Male,26.1,60.1,50.0,4.7,4.1,Medium,Yes,No,61.2
S1032,Female,14.9,79.2,74.8,7.4,3.9,Medium,Yes,No,70.7
S1033,Female,8.7,65.5,77.8,6.8,4.4,Medium,Yes,No,65.7
S1034,Male,19.9,72.2,64.2,6.4,3.1,High,Yes,No,63.1
S1035,Female,7.7,80.6,88.9,4.9,0.2,High,No,No,62.3
S1036,Male,16.3,69.7,,7.7,3.0,Low,Yes,No,43.2
S1037,Male,3.2,75.4,52.4,6.3,6.5,Medium,Yes,Yes,57.6
S1038,Male,7.0,92.1,72.7,5.5,7.7,High,Yes,No,77.5
S1039,Female,16.2,73.1,82.6,3.3,3.6,Low,Yes,Yes,60.2
S1040,Male,19.4,90.0,90.2,7.0,3.9,Low,Yes,Yes,75.9
S1041,Male,16.0,66.4,64.5,9.3,5.2,Low,Yes,Yes,57.4
S1042,Female,14.3,86.4,82.9,9.2,7.5,Medium,Yes,Yes,80.0
S1043,Female,13.2,97.3,69.5,6.4,3.3,Low,Yes,No,62.0
S1044,Female,6.1,50.3,67.9,6.2,5.1,High,Yes,Yes,43.1
S1045,Female,10.7,70.4,80.6,7.6,2.1,Medium,Yes,No,68.1
S1046,Male,12.2,86.9,77.8,5.7,1.1,Medium,No,No,51.2
S1047,Male,21.3,77.6,51.1,7.4,2.3,Low,Yes,No,57.3
S1048,Male,17.1,84.5,87.7,8.0,8.7,Medium,Yes,Yes,77.1
S1049,Female,4.4,72.8,86.6,8.6,5.2,Medium,Yes,No,67.4
S1050,Female,16.9,81.0,62.5,6.9,1.2,High,Yes,No,81.3
S1051,Male,12.7,78.1,74.7,6.7,5.4,High,Yes,No,58.0
S1052,Female,10.9,94.0,75.9,5.9,1.3,Medium,Yes,No,66.1
S1053,Female,18.7,83.1,73.1,5.9,4.4,High,Yes,No,71.7
S1054,Male,21.2,84.1,63.4,6.7,1.5,High,Yes,No,62.1
S1055,Male,20.6,75.1,61.9,7.5,1.1,High,Yes,No,60.7
S1056,Female,10.0,74.1,69.7,8.2,9.6,Low,Yes,No,54.8
S1057,Female,13.1,74.8,84.1,6.0,2.6,Low,Yes,Yes,49.7
S1058,Female,17.0,84.7,76.5,8.9,5.1,Low,No,No,62.6
S1059,Male,20.9,74.9,65.6,6.6,3.4,Medium,Yes,Yes,56.8
S1060,Male,12.1,83.5,79.3,7.0,1.4,Medium,Yes,No,68.0
S1061,Male,13.9,100.0,35.8,6.0,2.8,Medium,Yes,No,64.0
S1062,Male,8.4,90.5,83.8,3.8,1.4,High,No,No,69.7
S1063,Male,7.8,76.1,49.1,8.1,14.2,High,Yes,No,63.8
S1064,Female,19.9,94.4,65.7,8.0,5.8,High,Yes,No,78.3
S1065,Female,23.1,75.1,56.6,6.6,3.4,Medium,Yes,No,68.3
S1066,Female,14.6,55.5,54.5,7.1,5.0,Medium,Yes,No,56.6
S1067,Male,21.0,67.9,83.9,7.7,5.5,Medium,Yes,No,79.3
S1068,Male,17.2,57.6,64.4,5.0,5.6,Low,Yes,Yes,53.5
S1069,Male,11.1,75.8,74.2,6.3,5.4,Low,No,No,65.2
S1070,Female,17.2,80.2,69.4,8.0,5.1,Medium,Yes,No,52.1
S1071,Male,24.2,100.0,75.7,5.4,3.6,Medium,Yes,Yes,70.9
S1072,Male,14.8,83.9,70.9,7.4,9.1,High,Yes,No,71.7
S1073,Female,24.4,77.4,54.6,5.2,3.8,Low,Yes,Yes,52.4
S1074,Male,1.0,90.0,82.0,7.6,3.5,High,No,No,63.5
S1075,Female,19.9,53.5,64.1,7.0,3.8,Medium,Yes,No,59.3
S1076,Male,15.5,82.8,51.3,4.9,4.0,Medium,Yes,No,47.7
S1077,Male,13.2,89.3,64.9,8.5,0.7,Medium,Yes,Yes,65.5
S1078,Female,15.6,62.3,88.0,6.0,1.6,Medium,Yes,Yes,54.4
S1079,Female,3.1,93.7,80.2,5.9,3.1,Medium,Yes,Yes,59.6
S1080,Female,13.7,84.1,65.8,7.3,0.6,Medium,Yes,No,66.1
S1081,Female,17.1,75.0,65.8,8.5,3.4,Low,Yes,No,60.0
S1082,Female,23.9,87.6,66.1,5.7,4.0,Low,No,No,65.9
S1083,Female,11.9,100.0,94.9,7.1,1.0,Medium,Yes,No,69.0
S1084,Male,10.1,82.2,74.6,7.6,2.0,High,No,No,66.3
S1085,Male,12.0,83.0,75.2,7.9,7.9,Medium,Yes,No,73.9
S1086,Female,20.5,74.5,82.4,7.2,5.0,High,Yes,No,75.9
S1087,Male,17.0,69.8,72.9,6.5,4.8,Medium,Yes,No,65.4
S1088,Female,11.8,90.0,66.9,5.9,7.2,High,Yes,No,77.5
S1089,Male,18.1,69.7,67.6,7.1,1.6,High,Yes,Yes,60.9
S1090,Female,15.6,80.9,69.1,5.6,1.0,Medium,Yes,Yes,55.4
S1091,Male,20.8,74.3,69.6,3.2,6.6,Medium,Yes,No,64.9
S1092,Male,10.8,85.7,78.7,7.6,3.1,High,Yes,Yes,68.6
S1093,Male,13.0,84.0,70.6,8.2,1.6,Medium,Yes,No,72.6
S1094,Male,12.6,92.5,78.8,3.9,0.7,Medium,Yes,No,67.0
S1095,Male,6.2,73.9,69.0,5.7,3.8,Low,Yes,No,49.2
S1096,Female,16.8,76.8,70.9,7.8,2.9,High,Yes,No,72.2
S1097,Female,16.6,68.3,46.0,9.7,2.5,High,Yes,Yes,55.0
S1098,Female,15.0,74.7,81.0,7.0,0.3,Low,Yes,No,65.1
S1099,Male,13.6,84.5,74.2,6.1,9.1,Medium,No,No,56.2
S1100,Female,6.5,89.1,82.0,6.8,0.8,Medium,Yes,No,73.3
S1101,Male,12.5,68.9,35.2,8.8,2.7,Low,Yes,No,50.4
S1102,Male,12.9,90.4,95.1,6.2,2.3,High,Yes,No,75.8
S1103,Male,10.2,96.3,68.3,6.0,5.1,Low,Yes,No,66.4
S1104,Female,14.0,85.0,83.3,6.4,0.7,Low,Yes,No,65.3
S1105,Male,17.4,100.0,57.5,5.8,4.7,Medium,Yes,Yes,72.3
S1106,Female,26.3,70.7,77.4,7.2,3.8,High,No,No,77.9
S1107,Female,16.0,65.1,57.4,9.1,1.9,Low,Yes,No,56.3
S1108,Male,16.5,58.7,62.5,7.4,4.6,Medium,Yes,No,52.5
S1109,Male,14.6,98.0,93.0,6.7,3.4,Medium,Yes,No,71.9
S1110,Female,3.5,87.9,67.7,6.6,10.5,Low,Yes,No,59.2
S1111,Female,14.8,79.3,72.6,5.0,2.9,Low,Yes,No,63.8
S1112,Female,15.4,83.4,80.4,8.1,1.4,Medium,Yes,No,66.1
S1113,Female,29.8,66.5,75.9,6.9,4.7,Medium,Yes,Yes,62.3
S1114,Female,13.8,100.0,71.8,6.8,2.6,High,No,No,83.1
S1115,Female,16.8,81.6,74.4,10.0,3.3,High,Yes,Yes,71.7
S1116,Male,14.8,81.3,98.8,7.4,1.0,High,Yes,Yes,69.7
S1117,Female,8.0,88.7,69.3,6.0,5.2,Medium,Yes,No,68.7
S1118,Female,21.9,85.8,72.4,6.4,2.3,High,Yes,No,72.8
S1119,Female,19.5,82.7,82.6,8.5,4.1,Medium,Yes,No,63.8
S1120,Female,19.7,70.5,83.3,7.1,12.2,Medium,Yes,Yes,73.5
S1121,Male,9.5,85.7,84.2,5.1,2.7,Low,Yes,No,55.8
S1122,Male,23.4,100.0,77.7,8.2,5.6,Low,Yes,No,73.0
S1123,Female,6.6,96.1,56.3,6.1,2.9,Medium,Yes,No,61.3
S1124,Female,18.5,99.1,89.6,9.4,1.9,Medium,No,No,77.0
S1125,Female,28.1,73.9,56.2,8.4,8.0,Low,Yes,No,49.2
S1126,Male,9.1,68.1,73.6,6.4,0.5,Medium,No,No,52.9
S1127,Male,11.6,,60.9,8.7,6.7,Medium,No,No,67.7
S1128,Male,15.6,80.7,,7.1,0.4,Medium,Yes,Yes,68.2
S1129,Male,12.0,93.1,73.9,8.1,6.2,Medium,Yes,No,64.9
S1130,Male,5.7,59.7,73.9,7.6,3.4,High,Yes,No,67.4
S1131,Male,15.4,98.4,75.1,5.9,1.4,High,Yes,No,69.8
S1132,Female,8.6,78.1,89.4,6.2,2.4,Medium,Yes,Yes,59.9
S1133,Male,17.8,74.9,75.4,8.3,5.4,Medium,Yes,No,65.7
S1134,Male,9.5,67.9,67.1,6.6,11.5,Medium,No,No,58.6
S1135,Female,24.3,60.1,81.6,6.5,0.7,High,Yes,No,74.0
S1136,Male,10.3,89.9,84.3,5.8,1.5,Medium,Yes,Yes,65.8
S1137,Female,13.1,80.9,55.3,7.6,0.9,Low,Yes,No,54.4
S1138,Male,19.9,64.5,77.2,9.7,2.9,Low,No,No,64.2
S1139,Female,7.6,64.5,78.4,5.6,6.3,Medium,Yes,No,54.0
S1140,Female,16.4,76.0,66.4,7.0,0.8,Medium,No,Yes,55.4
S1141,Female,22.8,100.0,86.5,8.8,3.3,High,Yes,No,90.5
S1142,Female,5.4,76.9,68.2,6.9,6.2,Low,Yes,No,58.9
S1143,Female,16.1,62.0,71.5,7.6,2.4,Medium,Yes,Yes,54.4
S1144,Male,16.6,77.1,67.9,5.6,3.9,High,Yes,Yes,55.1
S1145,Male,19.7,76.7,70.2,7.6,7.7,High,Yes,No,74.5
S1146,Female,7.6,47.6,56.8,6.8,1.3,Medium,Yes,Yes,35.3
S1147,Female,7.1,79.3,52.7,8.3,0.5,Medium,Yes,Yes,53.3
S1148,Female,18.1,77.2,89.1,8.5,4.2,Medium,Yes,No,78.7
S1149,Male,16.8,88.4,59.8,10.0,4.3,High,Yes,No,77.7
S1150,Female,16.5,100.0,58.1,7.8,2.2,Low,No,Yes,45.4
S1151,Female,17.1,93.5,44.2,7.4,1.9,High,Yes,No,68.9
S1152,Female,10.9,76.8,62.3,7.3,3.4,Medium,Yes,Yes,55.6
S1153,Female,16.4,66.7,54.1,6.5,1.2,Medium,Yes,Yes,44.9
S1154,Male,16.8,100.0,89.7,7.4,1.2,Low,Yes,Yes,69.7
S1155,Female,10.7,80.7,82.1,6.6,5.4,Medium,Yes,No,63.6
S1156,Female,26.2,80.2,61.7,7.2,1.2,Medium,Yes,Yes,59.9
S1157,Male,17.8,79.7,97.0,8.7,0.6,Low,Yes,Yes,65.8
S1158,Female,7.9,82.4,81.8,5.7,1.9,Medium,Yes,No,59.8
S1159,Female,18.9,,66.1,8.5,2.3,High,Yes,No,71.3
S1160,Male,9.2,73.1,40.0,8.7,4.7,Medium,Yes,Yes,48.9
S1161,Male,19.7,73.4,97.5,6.8,2.0,High,Yes,No,72.0
S1162,Male,22.0,79.6,53.3,4.2,8.5,Low,Yes,Yes,59.3
S1163,Female,10.1,73.5,50.3,6.2,3.6,Medium,Yes,No,61.6
S1164,Female,20.8,71.4,82.3,8.7,1.7,Low,Yes,No,53.1
S1165,Male,17.5,81.3,99.3,7.0,4.5,Medium,Yes,No,78.0
S1166,Male,19.9,,86.6,5.7,8.4,High,No,No,80.3
S1167,Male,26.4,98.0,76.8,6.3,5.3,Medium,Yes,No,84.9
S1168,Female,13.5,48.2,77.1,8.1,0.8,Low,Yes,Yes,51.6
S1169,Female,10.5,93.1,80.2,7.7,2.4,Medium,Yes,No,63.5
S1170,Male,9.7,95.0,79.1,6.7,4.0,Medium,Yes,Yes,70.1
S1171,Female,10.1,55.1,73.4,6.5,5.2,Medium,Yes,No,51.1
S1172,Male,14.5,75.9,71.3,6.5,2.9,High,Yes,No,65.6
S1173,Female,17.0,75.5,69.2,5.8,2.6,High,Yes,No,69.2
S1174,Female,16.7,63.1,61.0,9.1,10.4,Medium,Yes,No,58.3
S1175,Female,20.0,70.7,66.6,6.6,5.4,Medium,Yes,No,56.1
S1176,Female,15.1,66.7,49.7,8.6,4.5,Medium,Yes,No,60.6
S1177,Male,23.7,100.0,68.8,9.0,2.1,Low,Yes,Yes,78.3
S1178,Female,13.4,91.2,58.1,8.3,1.2,Medium,Yes,No,72.5
S1179,Female,31.3,95.3,56.8,6.4,4.6,Medium,Yes,No,75.5
S1180,Male,18.8,88.7,72.2,7.5,5.8,Medium,Yes,No,76.4
S1181,Female,9.9,66.5,86.7,7.0,3.3,Medium,Yes,No,66.6
S1182,Male,8.6,73.7,81.0,5.8,5.4,Low,Yes,Yes,57.2
S1183,Male,17.9,85.9,51.2,7.4,5.5,Medium,Yes,No,69.3
S1184,Female,13.7,65.3,58.1,5.5,6.0,Low,Yes,No,42.7
S1185,Female,19.3,88.6,81.3,8.5,0.7,Low,Yes,Yes,65.3
S1186,Male,17.8,77.1,58.2,6.4,2.5,High,Yes,No,65.1
S1187,Male,14.6,75.5,67.3,7.3,4.8,Low,Yes,No,58.7
S1188,Male,9.9,88.5,76.6,7.4,3.5,Medium,Yes,No,64.7
S1189,Female,5.9,85.3,58.4,6.7,5.5,Low,Yes,No,58.6
S1190,Male,12.3,75.7,71.3,7.8,4.5,High,Yes,Yes,61.1
S1191,Male,20.1,93.9,54.0,6.4,0.3,Medium,Yes,No,61.3
S1192,Male,16.3,67.0,62.8,8.1,7.0,Low,Yes,No,53.1
S1193,Female,7.5,87.4,73.8,5.3,2.2,Medium,Yes,No,67.7
S1194,Male,16.0,87.1,50.9,7.2,1.6,High,Yes,No,66.7
S1195,Female,17.3,76.3,75.3,9.5,6.9,High,Yes,Yes,69.2
S1196,Female,9.7,83.9,69.8,5.7,5.2,Low,Yes,Yes,52.7
S1197,Male,15.9,65.0,76.6,6.1,7.5,High,No,No,64.6
S1198,Female,15.3,91.1,72.7,7.7,4.1,High,Yes,No,84.5
S1199,Male,8.1,77.8,86.4,7.2,2.5,High,No,No,60.0
S1200,Female,17.1,73.7,71.5,7.5,3.7,Medium,Yes,Yes,65.5
S1201,Female,18.4,92.6,64.8,7.6,1.3,Medium,Yes,No,70.9
S1202,Male,21.5,71.5,71.5,7.8,0.9,Medium,Yes,No,59.3
S1203,Male,21.3,63.1,76.5,8.4,2.0,High,Yes,No,78.2
S1204,Male,6.7,61.3,70.6,7.5,9.1,Medium,Yes,Yes,59.3
S1205,Female,9.4,87.3,70.5,6.7,2.1,Medium,Yes,No,60.9
S1206,Female,18.1,64.6,61.6,7.9,0.6,Medium,Yes,No,47.7
S1207,Male,18.1,100.0,62.0,,2.9,High,No,No,75.8
S1208,Male,18.1,55.0,53.2,6.8,2.1,High,Yes,No,57.9
S1209,Female,38.1,100.0,91.0,5.7,7.1,Low,Yes,No,72.6
S1210,Female,18.4,82.5,55.1,8.4,8.6,High,Yes,No,65.2
S1211,Female,21.8,78.8,61.7,6.8,2.4,Medium,Yes,No,69.0
S1212,Male,20.7,73.5,61.4,4.2,4.1,High,Yes,Yes,49.6
S1213,Female,18.9,84.8,80.7,,4.3,Medium,Yes,No,73.6
S1214,Male,13.1,79.5,66.5,6.3,3.2,Medium,Yes,Yes,57.8
S1215,Female,19.6,93.2,,6.9,2.8,High,Yes,No,81.5
S1216,Female,10.4,81.4,61.9,7.4,1.5,Medium,Yes,No,59.2
S1217,Male,13.6,81.8,73.3,7.2,0.5,High,No,No,68.2
S1218,Male,12.1,75.6,60.0,7.9,1.5,Medium,Yes,No,55.5
S1219,Male,15.5,79.3,95.7,6.4,3.1,Medium,No,Yes,63.8
S1220,Female,28.9,83.7,55.7,7.7,0.8,Medium,Yes,No,69.6
S1221,Female,3.8,59.5,,6.7,3.9,Medium,Yes,No,56.1
S1222,Female,19.1,63.8,77.6,,3.5,Medium,Yes,Yes,63.5
S1223,Male,5.3,88.9,75.0,,2.1,Low,Yes,No,54.9
S1224,Female,12.2,82.1,67.8,5.8,2.7,Medium,Yes,Yes,55.3
S1225,Male,21.5,77.8,68.4,8.4,1.0,Low,Yes,No,58.0
S1226,Male,15.4,80.2,70.5,6.3,6.0,High,Yes,No,68.4
