square_footage,bedrooms,bathrooms,lot_size,year_built,house_age,neighborhood_quality,distance_to_city_center,garage_spaces,has_pool,has_garden,school_rating,crime_rate,renovated,condition,property_type,price
2348,3,2.5,10792,1976,48,Medium,11.32,2,1,1,4.0,4.55,0,Fair,Single Family,300000
1903,5,3.0,1492,1986,38,Low,33.71,3,0,1,7.0,5.14,0,Excellent,Single Family,206400
2453,3,2.5,8159,1988,36,Premium,13.28,1,1,0,4.0,10.1,1,Good,Single Family,530500
3066,2,1.0,9954,2012,12,Low,4.93,2,0,0,2.0,0.6,0,Excellent,Single Family,360900
1836,2,2.0,14498,1975,49,High,18.73,2,1,1,10.0,2.71,0,Good,Condo,343400
1836,3,3.0,6314,2014,10,Medium,4.22,2,0,1,6.0,1.67,0,Excellent,Townhouse,359300
3105,4,2.5,9136,1953,71,Medium,5.95,2,0,0,9.0,1.22,0,Good,Single Family,423300
2537,4,3.0,1686,1978,46,High,5.19,2,0,1,2.0,2.5,1,Good,Single Family,436700
1671,4,4.0,1000,1950,74,Low,4.75,2,0,1,1.0,4.58,0,Good,Single Family,180300
2380,4,2.5,10957,1999,25,High,11.94,2,0,1,8.0,0.07,0,Fair,Townhouse,383800
1676,3,1.5,7981,1960,64,High,5.99,0,0,1,1.0,10.46,0,Excellent,Townhouse,307300
1674,2,2.5,12125,2023,1,High,3.05,2,0,0,1.0,4.98,0,Good,Single Family,321800
2169,3,3.5,3193,2008,16,Low,2.39,1,0,1,3.0,4.17,0,Good,Single Family,236500
661,3,2.5,9820,2011,13,Premium,0.5,1,0,0,5.0,4.29,0,Excellent,Multi-Family,277000
793,2,2.0,14541,1985,39,High,7.0,2,0,1,9.0,1.48,0,Excellent,Single Family,266000
1606,3,3.0,9469,2005,19,Premium,2.09,1,1,1,10.0,4.18,0,Good,Single Family,516700
1291,4,2.5,8968,1970,54,Medium,1.28,2,0,1,2.0,1.47,0,Excellent,Single Family,260200
2220,4,2.5,8030,1962,62,Medium,8.49,1,0,0,1.0,6.87,1,Fair,Condo,241900
1364,6,5.0,2502,1958,66,Premium,9.15,0,0,1,1.0,0.59,1,Fair,Multi-Family,321200
1011,5,5.0,12745,1960,64,Premium,11.16,1,0,1,8.0,1.04,0,Good,Multi-Family,355100
3026,4,3.5,5862,2019,5,Medium,5.6,0,1,1,10.0,2.4,0,Good,Townhouse,461000
1842,3,1.5,9766,1950,74,Medium,17.96,2,0,1,10.0,1.15,1,Good,Single Family,285300
2047,4,4.0,2529,2019,5,Medium,22.03,1,0,0,10.0,1.66,1,Good,Single Family,260800
1003,4,2.5,3872,2005,19,Medium,13.18,1,1,1,2.0,2.03,0,Good,Single Family,177200
1619,2,1.5,13023,1980,44,Medium,8.08,0,0,1,9.0,5.82,1,Excellent,Multi-Family,298900
2078,3,2.5,6784,1986,38,Medium,2.9,1,0,1,9.0,2.22,1,Good,Condo,325400
1194,5,4.5,13086,1996,28,Premium,32.57,2,1,0,2.0,1.35,0,Excellent,Single Family,402200
2263,3,3.0,7726,1996,28,Low,2.56,1,0,0,3.0,0.85,0,Excellent,Single Family,288200
1580,4,3.0,1553,2018,6,High,1.81,2,0,1,2.0,1.58,1,Fair,Single Family,285900
1796,4,3.5,11122,2007,17,Low,4.67,3,0,1,6.0,2.18,0,Fair,Multi-Family,206800
1579,2,1.5,5935,1985,39,Medium,0.5,2,0,0,7.0,4.11,1,Good,Single Family,260600
